Species,Genome size (Mb),No. of genes,Ty3-gypsy(%),Ty3-gypsy(Mb),Ty1-copia(%),Ty1-copia(Mb),Retrotransposons(%),Retrotransposons(Mb),Transposons(%),Transposons(Mb),Total repeats(%),Total repeats(Mb),LTR(%),LTR(Mb),Reference
Actinidia chinensis,616.1 ,39040 ,6.62 ,40.79 ,5.49 ,33.82 ,14.59 ,89.89 ,4.79 ,29.51 ,19.38 ,119.40 ,13.36 ,82.31 ,[1]
Aegilops tauschii,4360.0 ,43150 ,31.25 ,1362.50 ,9.91 ,432.08 ,44.03 ,1919.71 ,11.09 ,483.52 ,65.91 ,2873.68 ,41.35 ,1802.86 ,[2]
Amborella trichopoda,748.0 ,26846 ,25.34 ,189.54 ,13.65 ,102.10 ,46.54 ,348.12 ,7.91 ,59.17 ,60.96 ,455.98 ,38.99 ,291.65 ,[3]
Arabidopsis thaliana,125.0 ,25498 ,7.37 ,9.21 ,2.29 ,2.86 ,13.51 ,16.89 ,5.68 ,7.10 ,19.19 ,23.99 ,10.30 ,12.88 ,[4]
Arachis duranensis,1250.0 ,36734 ,18.14 ,226.75 ,3.17 ,39.63 ,52.65 ,658.13 ,8.80 ,110.00 ,61.73 ,771.63 ,44.74 ,559.25 ,[5]
Arachis ipaensis,1560.0 ,41840 ,1.86 ,29.02 ,2.98 ,46.49 ,57.58 ,898.25 ,10.73 ,167.39 ,68.50 ,1068.60 ,45.72 ,713.23 ,[5]
Asparagus officinalis,1308.0 ,32237 ,4.16 ,54.41 ,24.27 ,317.45 ,47.90 ,626.53 ,5.19 ,67.89 ,53.00 ,693.24 ,28.43 ,371.86 ,[6]
Atalantia buxifolia,328.0 ,28420 ,12.71 ,41.69 ,12.79 ,41.95 ,27.67 ,90.76 ,5.68 ,18.63 ,41.80 ,137.10 ,27.17 ,89.12 ,[7]
Brachypodium distachyon,260.0 ,25532 ,16.05 ,41.73 ,4.86 ,12.64 ,23.33 ,60.66 ,4.77 ,12.40 ,28.10 ,73.06 ,18.38 ,47.79 ,[8]
Brassica oleracea,630.0 ,45758 ,8.01 ,50.46 ,12.68 ,79.88 ,23.60 ,148.68 ,12.71 ,80.07 ,36.31 ,228.75 ,22.70 ,143.01 ,[9]
Brassica rapa,485.0 ,41174 ,9.53 ,46.22 ,9.93 ,48.16 ,22.67 ,109.95 ,6.52 ,31.62 ,29.19 ,141.57 ,15.70 ,76.15 ,[9]
Cajanus cajan,833.0 ,48680 ,11.79 ,98.21 ,6.22 ,51.81 ,19.18 ,159.77 ,4.53 ,37.73 ,51.67 ,430.41 ,18.01 ,150.02 ,[10]
Capsicum annuum,3480.0 ,34903 ,51.12 ,1778.98 ,6.01 ,209.15 ,59.36 ,2065.73 ,5.42 ,188.62 ,75.93 ,2642.36 ,58.04 ,2019.79 ,[11]
Carica papaya,370.0 ,28629 ,27.80 ,102.86 ,5.50 ,20.35 ,40.00 ,148.00 ,0.20 ,0.74 ,51.90 ,192.03 ,33.30 ,123.21 ,[12]
Chenopodium pallidicaule,337.0 ,17961 ,18.67 ,62.92 ,7.01 ,23.62 ,27.27 ,91.90 ,7.66 ,25.81 ,48.86 ,164.66 ,25.65 ,86.44 ,[13]
Chenopodium quinoa,1448.0 ,44776 ,28.46 ,412.10 ,8.22 ,119.03 ,45.26 ,655.36 ,6.24 ,90.36 ,62.30 ,902.10 ,36.84 ,533.44 ,[13]
Chenopodium suecicum,536.0 ,21861 ,23.26 ,124.67 ,4.21 ,22.57 ,30.09 ,161.28 ,3.76 ,20.15 ,52.20 ,279.79 ,27.34 ,146.54 ,[13]
Chlamydomonas reinhardtii,120.0 ,15143 ,0.34 ,0.41 ,0.07 ,0.08 ,4.70 ,5.64 ,1.69 ,2.03 ,14.40 ,17.28 ,0.75 ,0.90 ,[14]
